Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,SciName
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,UNKNOWN,69a11f927915e2a3ba1f7b9c84486527,Parasutterella UNKNOWN
Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,UNKNOWN,24cb328c9fd7acc137e16d564d2da79b,Campylobacter UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,CHKCI001,UNKNOWN,aee18d988eeaf2de8d6e9e088f6d24f8,CHKCI001 UNKNOWN
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,UNKNOWN,9acb555d3c5dd77e9035a661e7ad1bb6,Clostridium_sensu_stricto_1 UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,0804a76671e454da0386345f83fde59b,Lactobacillus UNKNOWN
Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,UNKNOWN,cb1c6b2a65a978f942ed88a1a18a647d,Campylobacter UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,UNKNOWN,c2b21f1d8e071fda68a09853a8cdcfdd,Faecalibacterium UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium]_hallii_group,UNKNOWN,7c861f48eaca9c2cacdb0470b609b1d4,[Eubacterium]_hallii_group UNKNOWN
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,UNKNOWN,96cf4779be686036f92ee15e58b72d52,Phascolarctobacterium UNKNOWN
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,UNKNOWN,c72360e304518f898d28f7ed166fac72,Methanobrevibacter UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,UNKNOWN,735cb9abbbc8ff2b5b354be608a3a869,Streptococcus UNKNOWN
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,UNKNOWN,3675dce5a2101536c0a40a03db47976d,Corynebacterium UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,d65bc04fb91f8a1c29cda7df2d15eb49,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,CHKCI001,UNKNOWN,664d7ec2732a1ad4ddad8a47483facec,CHKCI001 UNKNOWN
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,UNKNOWN,1f2b5687f00420696fd984dc54ab9648,Solobacterium UNKNOWN
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,UNKNOWN,9779047fe3d2832e9cf6d9c2ca7f3231,Methanobrevibacter UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,cdeff24c9395662c2e17faaf9ce3db64,Lactobacillus UNKNOWN
Bacteria,Firmicutes,Bacilli,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,764fed1d67d001a0a2053d8d4c4526f7,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,UNKNOWN,932965d7ed2166402b521fea7a1029a4,Blautia UNKNOWN
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,UNKNOWN,UNKNOWN,UNKNOWN,656fc22d077cc5d6ef83285bcd081cbe,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,3d7262c8518a22a3315fc9fd8e2f2682,UNKNOWN UNKNOWN
Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,UNKNOWN,35cbb315e019e0a8768d4b73862df415,Collinsella UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Negativibacillus,UNKNOWN,a9c65f22ab35a2635324961ee4e44023,Negativibacillus UNKNOWN
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,UNKNOWN,f86fbf7516e48acb01dc91aa382237f1,Cetobacterium UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,UNKNOWN,18761e1bf0c321f223c9e29c96a4e1dc,Blautia UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_hyointestinalis,a7a3df5c700813a44e23561ab4ced6e2,Streptococcus Streptococcus_hyointestinalis
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,UNKNOWN,8adadd953ff6f3831d8492aaecdbe713,Succinivibrio UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,f63c7d7a6d1eb1540b77e9997a615b14,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,af447f79eafcbd7e31e18eaf72dc845d,Lactobacillus UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes_butyraticus,1dc952db562f039bbc6a4dd86f4087e1,Anaerostipes Anaerostipes_butyraticus
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,3f112a88250b1496f6ed61056487cd75,UNKNOWN UNKNOWN
Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter_pullorum,7d83997fd038ad2203827ffd32358dcc,Helicobacter Helicobacter_pullorum
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotellaceae_bacterium,f387378a897340891d277b837ec4fa83,Prevotella Prevotellaceae_bacterium
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_6,Clostridium_bornimense,c1b52753628c46f210f9f984d6abc474,Clostridium_sensu_stricto_6 Clostridium_bornimense
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,UNKNOWN,675c847bccbc53942ebb7b8cbb4efc4d,Prevotella UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,UNKNOWN,00a96fbd0ac34bfd245f9c24f8737f7d,Blautia UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,5c4563e3dd7e12dcdf279783af929eaa,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,Lachnoclostridium_phocaeense,68e7e3599b8727dad8fb579a21279b55,Sellimonas Lachnoclostridium_phocaeense
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,76addc8524e10c6faff0161e36a1987a,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,UNKNOWN,263e41ea2c25dc87bd2ff5910cf30d40,Agathobacter UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,UNKNOWN,7006413e51a7d9452d99564b207ea103,Flavonifractor UNKNOWN
Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,UNKNOWN,782a79a0725adc6ac22fc1fd15933a12,Holdemanella UNKNOWN
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,UNKNOWN,accccde43fc86696aca738121bbe7dbe,Corynebacterium UNKNOWN
Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Mitsuokella,UNKNOWN,9e2e4c867168b068d94eb110dce64676,Mitsuokella UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,b75586b81ac08927f6713f6874b4be9a,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,845088f89299de9d0c7b431fb489c4e9,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UNKNOWN,UNKNOWN,50d3472ae91234c809fc3f45b8c26dfc,UNKNOWN UNKNOWN
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,UNKNOWN,95f8bfae476d6319c680f98c95de18ea,Succinivibrio UNKNOWN
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia_muciniphila,7b28c20e72c6c95b3e604f0849245770,Akkermansia Akkermansia_muciniphila
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,UNKNOWN,UNKNOWN,9526b3b3b607c94ef44c638561f7ee7c,UNKNOWN UNKNOWN
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,UNKNOWN,350cd8e890b27c7fa7ec3a0d77dbaa9b,Colidextribacter UNKNOWN
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,UNKNOWN,b15193fce14759d1c06728933e044af6,Bacteroides UNKNOWN
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,UNKNOWN,2d0476ee4b953f091c90bdee957f669a,Lactobacillus UNKNOWN
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,UNKNOWN,d76d59ec71de0e3b22da0c9cd564d41a,Fusicatenibacter UNKNOWN
